name,birthArea,birthDate,foot,role,height,passportArea,weight,fouls,goals,own_goals,percent_pass_accuracy,percent_shots_on_target
Reece Oxford,England,1998-12-16,right,DF,191,Jamaica,78,0,0,0,0,0
Jamie Vardy,England,1987-01-11,right,FW,178,England,76,0,0,0,0,0
Eric  Dier,England,1994-01-15,right,MD,188,Portugal,90,0,0,0,0,0
Ademola Lookman,England,1998-07-18,right,MD,174,Nigeria,78,0,0,0,0,0
Bamidele Alli,England,1996-04-11,right,MD,188,Nigeria,80,0,0,0,0,0
Antonio R\u00fcdiger,Germany,1993-03-03,right,DF,191,Sierra Leone,85,0,0,0,0,0
Shinji Okazaki,Japan,1986-04-16,right,FW,174,Japan,70,0,0,0,0,0
\u0130lkay G\u00fcndo\u011fan,Germany,1990-10-24,right,MD,180,Germany,80,0,0,0,0,0
Heung-Min Son,Korea Republic,1992-07-08,right,FW,183,Korea Republic,77,0,0,0,0,0
Mame Biram Diouf,Senegal,1987-12-16,right,FW,185,Senegal,79,0,0,0,0,0
Roberto Firmino Barbosa de Oliveira,Brazil,1991-10-02,right,FW,181,Brazil,76,0,0,0,0,0
Xherdan Shaqiri,Kosovo,1991-10-10,left,MD,169,Switzerland,72,0,0,0,0,0
Granit Xhaka,Switzerland,1992-09-27,left,MD,185,Albania,82,0,0,0,0,0
Kristoffer Nordfeldt,Sweden,1989-06-23,right,GK,190,Sweden,85,0,0,0,0,0
Trent Alexander-Arnold,England,1998-10-07,right,DF,175,England,69,0,0,0,0,0
Bojan Krk\u00edc P\u00e9rez,Spain,1990-08-28,right,FW,170,Serbia,65,0,0,0,0,0
Thibaut Courtois,Belgium,1992-05-11,left,GK,199,Belgium,94,0,0,0,0,0
Yohan Benalouane,France,1987-03-28,right,DF,185,Tunisia,79,0,0,0,0,0
Ignacio Monreal Eraso,Spain,1986-02-26,left,DF,179,Spain,72,0,0,0,0,0
Ahmed Hegazy,Egypt,1991-01-25,right,DF,193,Egypt,83,0,0,0,0,0
Mohamed Naser Elsayed Elneny,Egypt,1992-07-11,right,MD,180,Egypt,70,0,0,0,0,0
Mohamed  Salah Ghaly,Egypt,1992-06-15,left,FW,175,Egypt,72,0,0,0,0,0
Mathias Jattah-Njie J\u00f8rgensen,Denmark,1990-04-23,right,DF,191,Denmark,79,0,0,0,0,0
Jonas L\u00f6ssl,Denmark,1989-02-01,right,GK,195,Denmark,88,0,0,0,0,0
Isaac  Ajayi Success,Nigeria,1996-01-07,right,FW,182,Nigeria,90,0,0,0,0,0
Sadio Man\u00e9,Senegal,1992-04-10,right,FW,175,Senegal,75,0,0,0,0,0
Hugo Lloris,France,1986-12-26,left,GK,188,France,82,0,0,0,0,0
Dejan Lovren,Croatia,1989-07-05,right,DF,188,Croatia,84,0,0,0,0,0
C\u00e9sar Azpilicueta Tanco,Spain,1989-08-28,right,DF,178,Spain,75,0,0,0,0,0
Henri Saivet,Senegal,1990-10-26,right,MD,175,France,73,0,0,0,0,0
Mathieu Debuchy,France,1985-07-28,right,DF,177,France,76,0,0,0,0,0
Benjamin Mendy,France,1994-07-17,left,DF,185,Senegal,85,0,0,0,0,0
Olivier Giroud,France,1986-09-30,left,FW,192,France,88,0,0,0,0,0
Diafra Sakho,Senegal,1989-12-24,right,FW,184,France,79,0,0,0,0,0
Kevin Mirallas,Belgium,1987-10-05,right,MD,182,Spain,70,0,0,0,0,0
Christian Kabasele,Congo DR,1991-02-24,right,DF,187,Belgium,84,0,0,0,0,0
Edimilson Fernandes,Switzerland,1996-04-15,right,MD,190,Portugal,70,0,0,0,0,0
\u00c1lvaro Borja Morata Mart\u00edn,Spain,1992-10-23,right,FW,189,Spain,85,0,0,0,0,0
Pierre-Emile H\u00f8jbjerg,Denmark,1995-08-05,right,MD,185,France,84,0,0,0,0,0
Ben Davies,Wales,1993-04-24,left,DF,182,Wales,76,0,0,0,0,0
Danny Ward,Wales,1993-06-22,right,GK,191,Wales,88,0,0,0,0,0
Martin D\u00fabravka,Slovakia,1989-01-15,right,GK,191,Slovakia,85,0,0,0,0,0
Per Mertesacker,Germany,1984-09-29,right,DF,198,Germany,90,0,0,0,0,0
Aaron Ramsey,Wales,1990-12-26,right,MD,183,Wales,76,0,0,0,0,0
Jonny Evans,Northern Ireland,1988-01-02,right,DF,188,Northern Ireland,77,0,0,0,0,0
Patrice Evra,Senegal,1981-05-15,left,DF,174,France,75,0,0,0,0,0
Michael Carrick,England,1981-07-28,right,MD,188,England,74,0,0,0,0,0
Glen Johnson,England,1984-08-23,right,DF,182,England,70,0,0,0,0,0
Rob Elliot,England,1986-04-30,left,GK,188,Ireland Republic,93,0,0,0,0,0
Lucas Rodrigues Moura da Silva,Brazil,1992-08-13,right,FW,172,Brazil,72,0,0,0,0,0
Ciaran Clark,England,1989-09-26,left,DF,188,Ireland Republic,76,0,0,0,0,0
James Michael Collins,Wales,1983-08-23,right,DF,193,Wales,90,0,0,0,0,0
Ross Barkley,England,1993-12-05,right,MD,189,England,76,0,0,0,0,0
Costel Fane Pantilimon,Romania,1987-02-01,right,GK,203,Romania,96,0,0,0,0,0
Stuart Taylor,England,1980-11-28,right,GK,196,England,86,0,0,0,0,0
Gareth McAuley,Northern Ireland,1979-12-05,right,DF,195,Northern Ireland,89,0,0,0,0,0
Shane  Long,Ireland Republic,1987-01-22,right,FW,178,Ireland Republic,70,0,0,0,0,0
Diego Cavalieri,Brazil,1982-12-01,left,GK,191,Italy,86,0,0,0,0,0
Wayne  Hennessey,Wales,1987-01-24,right,GK,198,Wales,90,0,0,0,0,0
Stephen Ward,Ireland Republic,1985-08-20,left,DF,184,Ireland Republic,82,0,0,0,0,0
Andy King,England,1988-10-29,right,MD,184,Wales,79,0,0,0,0,0
James McClean,Northern Ireland,1989-04-22,left,MD,180,Ireland Republic,70,0,0,0,0,0
Alex McCarthy,England,1989-12-03,right,GK,193,England,79,0,0,0,0,0
Dean Whitehead,England,1982-01-12,right,MD,183,England,77,0,0,0,0,0
Jeff Hendrick,Ireland Republic,1992-01-31,right,MD,185,Ireland Republic,79,0,0,0,0,0
Lewis Dunk,England,1991-11-21,right,DF,192,England,88,0,0,0,0,0
Sam Vokes,England,1989-10-21,right,FW,188,Wales,90,0,0,0,0,0
Harry Arter,England,1989-12-28,right,MD,178,Ireland Republic,70,0,0,0,0,0
Liam Rosenior,England,1984-07-09,right,DF,178,Sierra Leone,77,0,0,0,0,0
Kevin Long,Ireland Republic,1990-08-18,right,DF,187,Ireland Republic,82,0,0,0,0,0
Harry Winks,England,1996-02-02,right,MD,176,England,74,0,0,0,0,0
Steven James Sidwell,England,1982-12-14,right,MD,178,England,80,0,0,0,0,0
Ashley Williams,England,1984-08-23,right,DF,182,Wales,91,0,0,0,0,0
Joe Allen,Wales,1990-03-14,right,MD,168,Wales,62,0,0,0,0,0
Leon Britton,England,1982-09-16,right,MD,167,England,65,0,0,0,0,0
Oleksandr Zinchenko,Ukraine,1996-12-15,left,MD,175,Ukraine,64,0,0,0,0,0
Daniel Bachmann,Austria,1994-07-09,right,GK,191,Austria,81,0,0,0,0,0
Didier  Ndong,Gabon,1994-06-17,right,MD,179,Gabon,75,0,0,0,0,0
Nathaniel Chalobah,Sierra Leone,1994-12-12,right,MD,185,England,80,0,0,0,0,0
Sebastian Pr\u00f6dl,Austria,1987-06-21,right,DF,196,Austria,97,0,0,0,0,0
Marko Arnautovi\u0107,Austria,1989-04-19,right,FW,192,Serbia,83,0,0,0,0,0
Emerson Palmieri dos Santos,Brazil,1994-08-03,left,DF,176,Italy,63,0,0,0,0,0
Marcos  Alonso Mendoza,Spain,1990-12-28,left,DF,188,Spain,81,0,0,0,0,0
Leroy San\u00e9,Germany,1996-01-11,left,MD,184,France,76,0,0,0,0,0
Richarlison de Andrade,Brazil,1997-05-10,right,FW,179,Brazil,71,0,0,0,0,0
Aleksandar Dragovi\u0107,Austria,1991-03-06,right,DF,184,Serbia,76,0,0,0,0,0
Moritz Bauer,Switzerland,1992-01-25,right,DF,181,Austria,73,0,0,0,0,0
Chris Brunt,Northern Ireland,1984-12-14,left,MD,187,Northern Ireland,85,0,0,0,0,0
Shane Duffy,Northern Ireland,1992-01-01,right,DF,193,Ireland Republic,76,0,0,0,0,0
Emre Can,Germany,1994-01-12,right,MD,184,Turkey,82,0,0,0,0,0
Joe Rodon,Wales,1997-10-22,right,DF,190,Wales,76,0,0,0,0,0
George Thomas,England,1997-03-24,right,FW,173,Wales,76,0,0,0,0,0
Roberto Maximiliano Pereyra,Argentina,1991-01-07,right,MD,182,Argentina,77,0,0,0,0,0
Sergio Germ\u00e1n Romero,Argentina,1987-02-22,right,GK,192,Italy,87,0,0,0,0,0
Jos\u00e9 Ramiro Funes Mori,Argentina,1991-03-05,left,DF,186,Argentina,79,0,0,0,0,0
Jes\u00fas G\u00e1mez Duarte,Spain,1985-04-10,right,DF,182,Spain,77,0,0,0,0,0
Ben Chilwell,England,1996-12-21,left,DF,178,England,77,0,0,0,0,0
Ben Woodburn,England,1999-10-15,right,FW,174,Wales,72,0,0,0,0,0
Florent Hadergjonaj,Switzerland,1994-07-31,right,DF,182,Kosovo,73,0,0,0,0,0
Mamadou Sakho,France,1990-02-13,left,DF,187,Senegal,83,0,0,0,0,0
David Ospina Ram\u00edrez,Colombia,1988-08-31,right,GK,183,Colombia,76,0,0,0,0,0
Idrissa Gana Gueye,Senegal,1989-09-26,right,MD,174,Senegal,72,0,0,0,0,0
Eden Hazard,Belgium,1991-01-07,right,FW,173,Belgium,74,0,0,0,0,0
Connor Roberts,Wales,1995-09-23,right,DF,175,Wales,71,0,0,0,0,0
Kurt Happy Zouma,France,1994-10-27,right,DF,190,Central African Republic,85,0,0,0,0,0
Davinson S\u00e1nchez Mina,Colombia,1996-06-12,right,DF,187,Colombia,79,0,0,0,0,0
Joe Gomez,England,1997-05-23,right,DF,188,Gambia,77,0,0,0,0,0
Mathew Ryan,Australia,1992-04-08,right,GK,184,England,82,0,0,0,0,0
Renato J\u00fanior Luz Sanches,Portugal,1997-08-18,right,MD,176,S\u00e3o Tom\u00e9 e Pr\u00edncipe,70,0,0,0,0,0
Sung-Yeung Ki,Korea Republic,1989-01-24,right,MD,186,Korea Republic,75,0,0,0,0,0
Steven Davis,Northern Ireland,1985-01-01,right,MD,173,Northern Ireland,72,0,0,0,0,0
Aaron Mooy,Australia,1990-09-15,right,MD,174,Netherlands,68,0,0,0,0,0
N'Golo Kant\u00e9,France,1991-03-29,right,MD,168,Mali,68,0,0,0,0,0
Cenk Tosun,Germany,1991-06-07,right,FW,183,Turkey,78,0,0,0,0,0
Craig Cathcart,Northern Ireland,1989-02-06,right,DF,188,Northern Ireland,73,0,0,0,0,0
Kevin Wimmer,Austria,1992-11-15,left,DF,187,Austria,85,0,0,0,0,0
Molla Wagu\u00e9,France,1991-02-21,right,DF,191,Mali,87,0,0,0,0,0
Davide Zappacosta,Italy,1992-06-11,right,DF,182,Italy,70,0,0,0,0,0
Wesley Hoedt,Netherlands,1994-03-06,left,DF,192,Netherlands,82,0,0,0,0,0
Joe Hart,England,1987-04-19,right,GK,194,England,83,0,0,0,0,0
Orestis Karnezis,Greece,1985-07-11,right,GK,190,Greece,84,0,0,0,0,0
Manolo Gabbiadini,Italy,1991-11-26,left,FW,186,Italy,81,0,0,0,0,0
Gerard Deulofeu L\u00e1zaro,Spain,1994-03-13,right,FW,177,Spain,73,0,0,0,0,0
Mario Lemina,Gabon,1993-09-01,right,MD,184,France,76,0,0,0,0,0
Fernando Llorente Torres,Spain,1985-02-26,right,FW,195,Spain,90,0,0,0,0,0
Angelo Obinze Ogbonna,Italy,1988-05-23,left,DF,191,Nigeria,86,0,0,0,0,0
Jos\u00e9 Holebas,Germany,1984-06-27,left,DF,185,Greece,81,0,0,0,0,0
Stefano Okaka Chuka,Italy,1989-08-09,right,FW,186,Nigeria,90,0,0,0,0,0
Miguel \u00c1ngel Britos Cabrera,Uruguay,1985-07-17,right,DF,188,Uruguay,85,0,0,0,0,0
Matias Ezequiel Schelotto,Argentina,1989-05-23,right,DF,187,Italy,79,0,0,0,0,0
Pedro  Mba Obiang Avomo,Spain,1992-03-27,right,MD,185,Equatorial Guinea,75,0,0,0,0,0
Kyle Taylor,England,1999-08-28,,MD,0,England,0,0,0,0,0,0
Maarten Stekelenburg,Netherlands,1982-09-22,right,GK,197,Netherlands,92,0,0,0,0,0
Zlatan Ibrahimovi\u0107,Sweden,1981-10-03,right,FW,195,Bosnia-Herzegovina,95,0,0,0,0,0
Aaron  Lennon,England,1987-04-16,right,MD,165,Ireland Republic,63,0,0,0,0,0
Peter Crouch,England,1981-01-30,right,FW,201,Ireland Republic,84,0,0,0,0,0
Wayne Rooney,England,1985-10-24,right,FW,176,England,83,0,0,0,0,0
Theo  Walcott,England,1989-03-16,right,FW,176,England,68,0,0,0,0,0
Petr \u010cech,Czech Republic,1982-05-20,left,GK,196,Czech Republic,90,0,0,0,0,0
Luis Antonio Valencia Mosquera,Ecuador,1985-08-04,right,DF,181,Ecuador,78,0,0,0,0,0
Francesc F\u00e0bregas i Soler,Spain,1987-05-04,right,MD,175,Spain,74,0,0,0,0,0
Artur Boruc,Poland,1980-02-20,right,GK,193,Poland,87,0,0,0,0,0
Charlie Adam,Scotland,1985-12-10,left,MD,185,Scotland,82,0,0,0,0,0
Younes Kaboul,France,1986-01-04,right,DF,191,Morocco,87,0,0,0,0,0
Uwe H\u00fcnemeier,Germany,1986-01-09,right,DF,189,Germany,84,0,0,0,0,0
Yohan Cabaye,France,1986-01-14,right,MD,174,France,71,0,0,0,0,0
Ibrahim Afellay,Netherlands,1986-04-02,right,MD,180,Morocco,76,0,0,0,0,0
Heurelho da Silva Gomes,Brazil,1981-02-15,right,GK,191,Brazil,91,0,0,0,0,0
Michel Vorm,Netherlands,1983-10-20,right,GK,184,Suriname,84,0,0,0,0,0
Erik Pieters,Netherlands,1988-08-07,left,DF,182,Netherlands,86,0,0,0,0,0
Ben Foster,England,1983-04-03,left,GK,193,England,90,0,0,0,0,0
Adrian Mariappa,England,1986-10-03,right,DF,178,Jamaica,81,0,0,0,0,0
Phil Jagielka,England,1982-08-17,right,DF,183,Poland,83,0,0,0,0,0
Leighton Baines,England,1984-12-11,left,DF,170,England,70,0,0,0,0,0
Robert Green,England,1980-01-18,right,GK,191,England,93,0,0,0,0,0
